Id,Hashed_Context,Pronoun,Position,Candidate_Antecedent,Manual Evaluation
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,report,A
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,total trash,A
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,weekly basis,A
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,System,A
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,report,A
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,total trash,A
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,monthly basis,A
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,System,A
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,report,A
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,total trash,A
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,yearly basis,A
63-itself-0,The system shall localize itself#0in the environment.,itself,4,The system,A
64-its-0,The system shall choose the optimized path from its#0current position to the destination point selected by the user.,its,8,The system,UA
64-its-0,The system shall choose the optimized path from its#0current position to the destination point selected by the user.,its,8,the optimized path,UA
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,The system,UA
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,(Infrared,UA
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,obstacles,UA
66-its-0,The wheelchair shall stop its#0motion after detecting the alarming distance from the obstacle.,its,4,The wheelchair,UA
67-his-1,It allows the user to enter his#1/her nickname for the session,his,6,the user,UA
67-her-2,It allows the user to enter his/her#2nickname for the session,her,8,the user,UA
69-his-0,The system shall enable user to enter his#0credentials,his,7,The system,A
69-his-0,The system shall enable user to enter his#0credentials,his,7,user,A
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,The system,UA
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,the user,UA
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,videos,UA
73-their-0,User shall login to their#0account.,their,4,User,A
74-their-0,User should get notifications when someone invests in their#0campaign,their,8,User,A
74-their-0,User should get notifications when someone invests in their#0campaign,their,8,notifications,A
75-their-0,User should get notifications when admin approves their#0campaign,their,7,User,A
75-their-0,User should get notifications when admin approves their#0campaign,their,7,notifications,A
75-their-0,User should get notifications when admin approves their#0campaign,their,7,admin,A
76-he-0,The application will allow the Citizen to report online only if he#0agrees to the terms and conditions.,he,11,The application,A
76-he-0,The application will allow the Citizen to report online only if he#0agrees to the terms and conditions.,he,11,the Citizen,A
77-their-0,The application will allow the inspector to update their#0profile as needed. This includes updating the profile picture.,their,8,The application,UA
77-their-0,The application will allow the inspector to update their#0profile as needed. This includes updating the profile picture.,their,8,the inspector,UA
78-their-0,The application enables the inspector to update or modify their#0personal details given.,their,9,The application,UA
78-their-0,The application enables the inspector to update or modify their#0personal details given.,their,9,the inspector,UA
79-his-0,The application will allow the inspector to restore his#0password in case he forgets it through SMS verification.,his,8,The application,UA
79-his-0,The application will allow the inspector to restore his#0password in case he forgets it through SMS verification.,his,8,the inspector,UA
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,The application,UA
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,the inspector,UA
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,his password,UA
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,case,UA
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,The application,UA
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,the inspector,UA
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,his password,UA
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,case,UA
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,a citizen,UA
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,a complain,UA
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,this functionality,UA
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,the inspector,UA
81-their-0,The application will provide the inspector to logout from their#0sign in account.,their,9,The application,A
81-their-0,The application will provide the inspector to logout from their#0sign in account.,their,9,the inspector,A
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,The application,A
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,the inspector,A
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,an eye,A
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,the patrolling policemen,A
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,A map,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,The application,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,the inspector,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,an eye,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,the patrolling policemen,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,A map,A
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,his screen,A
83-he-0,The application will allow the patrolling officer after login in to view whether he#0has been assigned any task.,he,13,The application,UA
83-he-0,The application will allow the patrolling officer after login in to view whether he#0has been assigned any task.,he,13,the patrolling officer,UA
83-he-0,The application will allow the patrolling officer after login in to view whether he#0has been assigned any task.,he,13,login,UA
84-his-0,The system shall enable the patrolling officer to update or modify his#0personal details given.,his,11,The system,UA
84-his-0,The system shall enable the patrolling officer to update or modify his#0personal details given.,his,11,the patrolling officer,UA
85-his-0,The application will allow the patrolling officer to restore his#0password in case he forgets it through SMS verification.,his,9,The application,UA
85-his-0,The application will allow the patrolling officer to restore his#0password in case he forgets it through SMS verification.,his,9,the patrolling officer,UA
85-he-1,The application will allow the patrolling officer to restore his password in case he#1forgets it through SMS verification.,he,13,The application,UA
85-he-1,The application will allow the patrolling officer to restore his password in case he#1forgets it through SMS verification.,he,13,the patrolling officer,UA
85-he-1,The application will allow the patrolling officer to restore his password in case he#1forgets it through SMS verification.,he,13,his password,UA
85-he-1,The application will allow the patrolling officer to restore his password in case he#1forgets it through SMS verification.,he,13,case,UA
85-it-2,The application will allow the patrolling officer to restore his password in case he forgets it#2through SMS verification.,it,15,The application,UA
85-it-2,The application will allow the patrolling officer to restore his password in case he forgets it#2through SMS verification.,it,15,the patrolling officer,UA
85-it-2,The application will allow the patrolling officer to restore his password in case he forgets it#2through SMS verification.,it,15,his password,UA
85-it-2,The application will allow the patrolling officer to restore his password in case he forgets it#2through SMS verification.,it,15,case,UA
86-their-0,The users should be able to show/hide their#0personal details.,their,9,The users,UA
87-himself-0,"For the signup of the user, the user should first register himself#0in the company's database.",himself,12,the signup,UA
87-himself-0,"For the signup of the user, the user should first register himself#0in the company's database.",himself,12,the user,UA
89-their-0,User should have jdk installed on their#0system.,their,6,User,UA
89-their-0,User should have jdk installed on their#0system.,their,6,jdk,UA
90-his-0,User must have to locate Input file of Machine meta from his#0system,his,11,User,UA
90-his-0,User must have to locate Input file of Machine meta from his#0system,his,11,Input file,UA
90-his-0,User must have to locate Input file of Machine meta from his#0system,his,11,Machine meta,UA
91-his-0,User must have to locate Input file of container meta from his#0system,his,11,User,UA
91-his-0,User must have to locate Input file of container meta from his#0system,his,11,Input file,UA
91-his-0,User must have to locate Input file of container meta from his#0system,his,11,container meta,UA
92-his-0,User must have to locate Input file of batch task from his#0system.,his,11,User,UA
92-his-0,User must have to locate Input file of batch task from his#0system.,his,11,Input file,UA
92-his-0,User must have to locate Input file of batch task from his#0system.,his,11,batch task,UA
93-his-0,User must have to name Output file of Machine usage on his#0system.,his,11,User,UA
93-his-0,User must have to name Output file of Machine usage on his#0system.,his,11,Output file,UA
93-his-0,User must have to name Output file of Machine usage on his#0system.,his,11,Machine usage,UA
94-his-0,User then have to name Output file of Container usage on his#0system.,his,11,User,UA
94-his-0,User then have to name Output file of Container usage on his#0system.,his,11,Output file,UA
94-his-0,User then have to name Output file of Container usage on his#0system.,his,11,Container usage,UA
95-his-0,User must have to name Output file of Thermal Data on his#0system.,his,11,User,UA
95-his-0,User must have to name Output file of Thermal Data on his#0system.,his,11,Output file,UA
95-his-0,User must have to name Output file of Thermal Data on his#0system.,his,11,Thermal Data,UA
96-their-0,"Users can change their#0User Type from Listener to Musician and vice versa, through the Settings Panel.",their,3,Users,UA
97-their-0,Users can add comments on tracks and show their#0support for their favourite artists by liking their tracks,their,8,Users,A
97-their-0,Users can add comments on tracks and show their#0support for their favourite artists by liking their tracks,their,8,comments,A
97-their-0,Users can add comments on tracks and show their#0support for their favourite artists by liking their tracks,their,8,tracks,A
97-their-1,Users can add comments on tracks and show their support for their#1favourite artists by liking their tracks,their,11,Users,A
97-their-1,Users can add comments on tracks and show their support for their#1favourite artists by liking their tracks,their,11,comments,A
97-their-1,Users can add comments on tracks and show their support for their#1favourite artists by liking their tracks,their,11,tracks,A
97-their-1,Users can add comments on tracks and show their support for their#1favourite artists by liking their tracks,their,11,their support,A
97-their-2,Users can add comments on tracks and show their support for their favourite artists by liking their#2tracks,their,16,Users,A
97-their-2,Users can add comments on tracks and show their support for their favourite artists by liking their#2tracks,their,16,comments,A
97-their-2,Users can add comments on tracks and show their support for their favourite artists by liking their#2tracks,their,16,tracks,A
97-their-2,Users can add comments on tracks and show their support for their favourite artists by liking their#2tracks,their,16,their support,A
97-their-2,Users can add comments on tracks and show their support for their favourite artists by liking their#2tracks,their,16,their favourite artists,A
98-their-0,"Users have the ability to make custom playlist(s), which can be renamed to their#0own liking.",their,15,Users,A
98-their-0,"Users have the ability to make custom playlist(s), which can be renamed to their#0own liking.",their,15,the ability,A
98-their-0,"Users have the ability to make custom playlist(s), which can be renamed to their#0own liking.",their,15,custom playlist(s,A
99-they-0,The system should provide fields to driver and passenger where they#0will enter their credentials for login purpose.,they,10,The system,UA
99-they-0,The system should provide fields to driver and passenger where they#0will enter their credentials for login purpose.,they,10,fields,UA
99-they-0,The system should provide fields to driver and passenger where they#0will enter their credentials for login purpose.,they,10,driver,UA
99-they-0,The system should provide fields to driver and passenger where they#0will enter their credentials for login purpose.,they,10,driver and passenger,UA
99-they-0,The system should provide fields to driver and passenger where they#0will enter their credentials for login purpose.,they,10,passenger,UA
99-their-1,The system should provide fields to driver and passenger where they will enter their#1credentials for login purpose.,their,13,The system,UA
99-their-1,The system should provide fields to driver and passenger where they will enter their#1credentials for login purpose.,their,13,fields,UA
99-their-1,The system should provide fields to driver and passenger where they will enter their#1credentials for login purpose.,their,13,driver,UA
99-their-1,The system should provide fields to driver and passenger where they will enter their#1credentials for login purpose.,their,13,driver and passenger,UA
99-their-1,The system should provide fields to driver and passenger where they will enter their#1credentials for login purpose.,their,13,passenger,UA
100-their-0,The system should allow users to select route of their#0choice.,their,9,The system,UA
100-their-0,The system should allow users to select route of their#0choice.,their,9,users,UA
100-their-0,The system should allow users to select route of their#0choice.,their,9,route,UA
101-they-0,The system checks passenger location and location of bus. If they#0both are same the system should automatically change navigation from bus to university.,they,11,The system,A
101-they-0,The system checks passenger location and location of bus. If they#0both are same the system should automatically change navigation from bus to university.,they,11,passenger location,A
101-they-0,The system checks passenger location and location of bus. If they#0both are same the system should automatically change navigation from bus to university.,they,11,passenger location and location,A
101-they-0,The system checks passenger location and location of bus. If they#0both are same the system should automatically change navigation from bus to university.,they,11,location,A
101-they-0,The system checks passenger location and location of bus. If they#0both are same the system should automatically change navigation from bus to university.,they,11,bus,A
102-its-0,The system should stop navigation when the bus reaches its#0destination.,its,9,The system,UA
102-its-0,The system should stop navigation when the bus reaches its#0destination.,its,9,navigation,UA
102-its-0,The system should stop navigation when the bus reaches its#0destination.,its,9,the bus,UA
103-their-0,The system should ask passenger to rate their#0trip.,their,7,The system,A
103-their-0,The system should ask passenger to rate their#0trip.,their,7,passenger,A
104-his-0,The system should allow driver to configure route before starting his#0journey.,his,10,The system,UA
104-his-0,The system should allow driver to configure route before starting his#0journey.,his,10,driver,UA
104-his-0,The system should allow driver to configure route before starting his#0journey.,his,10,route,UA
105-they-0,The system should display all routes to drivers and passengers so that they#0can select one of them.,they,12,The system,A
105-they-0,The system should display all routes to drivers and passengers so that they#0can select one of them.,they,12,all routes,A
105-they-0,The system should display all routes to drivers and passengers so that they#0can select one of them.,they,12,drivers,A
105-they-0,The system should display all routes to drivers and passengers so that they#0can select one of them.,they,12,drivers and passengers,A
105-they-0,The system should display all routes to drivers and passengers so that they#0can select one of them.,they,12,passengers,A
105-them-1,The system should display all routes to drivers and passengers so that they can select one of them#1.,them,17,The system,A
105-them-1,The system should display all routes to drivers and passengers so that they can select one of them#1.,them,17,all routes,A
105-them-1,The system should display all routes to drivers and passengers so that they can select one of them#1.,them,17,drivers,A
105-them-1,The system should display all routes to drivers and passengers so that they can select one of them#1.,them,17,drivers and passengers,A
